title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
The Good Girl,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,210.70155000000003,Fox Searchlight Pictures,Hungry Eye Lowland Pictures B.V.,Daniel Bradford,Miguel Arteta,Jeff Betancourt,Jennifer Aniston,Jake Gyllenhaal,3,3,4,2,6,"Drama,Comedy,Romance",6,0,2,4
Bon Cop Bad Cop,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,158.39125,Park Ex Pictures,Sortie 22,Rosina Bucci,Erik Canuel,Jean-François Bergeron,Patrick Huard,Colm Feore,2,2,0,2,2,"Action,Comedy,Crime",2,0,1,0
The Boondock Saints II: All Saints Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,132.8665125,Chris Brinker Productions,Stage 6 Films,Paul J. Alessi,Troy Duffy,Paul Kumpata,Sean Patrick Flanery,Norman Reedus,2,2,0,2,2,"Action,Thriller,Crime",2,0,1,0
Shadow of the Vampire,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",2,103.4877125,Saturn Films,,Dan Jones,E. Elias Merhige,Chris Wyatt,John Malkovich,Willem Dafoe,2,2,2,2,3,"Drama,Horror",4,6,1,1
Prom,"[{""id"": 35, ""name"": ""Comedy""}]",2,126.62500000000001,Walt Disney Pictures,Rickshaw Productions,Jeff Lewis,Joe Nussbaum,Jeffrey M. Werner,Aimee Teegarden,Thomas McDonell,2,2,0,2,5,Comedy,6,0,1,0
Anomalisa,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1,70.741075,Starburns Industries,,Jeff Trzepkowski,Duke Johnson,Garret Elkins,David Thewlis,Jennifer Jason Leigh,1,1,1,1,1,"Animation,Comedy,Drama,Romance",1,6,1,1
Another Year,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2,226.553275,Film4,Thin Man Films,Polly Duval,Mike Leigh,Jon Gregory,Jim Broadbent,Lesley Manville,2,2,0,2,6,"Comedy,Drama",3,0,1,0
Showdown in Little Tokyo,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",1,28.4444625,Original Pictures,Warner Bros.,Tom Scurry,Mark L. Lester,Michael Eliot,Dolph Lundgren,Brandon Lee,4,1,4,1,1,"Action,Thriller",1,6,1,1
It's Kind of a Funny Story,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",1,81.1405,Focus Features,,Kurt and Bart,Anna Boden,Anna Boden,Keir Gilchrist,Emma Roberts,1,1,3,5,4,"Comedy,Drama",6,6,1,1
Begin Again,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",4,793.3107625,Likely Story,Apatow Productions,Anne Goelz,John Carney,Andrew Marcus,Mark Ruffalo,Keira Knightley,6,4,4,4,4,"Comedy,Music,Romance,Drama",4,3,1,2
Down in the Valley,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",1,10.6609,Class 5 Films,,Peter Salett,David Jacobson,David Jacobson,Edward Norton,Evan Rachel Wood,1,2,2,1,1,"Drama,Romance",1,6,3,1
Fido,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}]",1,5.3278,Lions Gate Films,Astral Media,Nicholas Podbrey,Andrew Currie,Roger Mattiussi,Billy Connolly,Carrie-Anne Moss,1,1,1,1,1,"Romance,Comedy,Drama,Horror",6,0,1,1
Wild Target,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",1,43.1630375,Matador Pictures,Isle of Man Film,Jim Glen,Jonathan Lynn,Michael Parker,Bill Nighy,Emily Blunt,4,6,3,1,3,"Action,Comedy",1,1,1,1
Akira,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 16, ""name"": ""Animation""}]",1,6.9146374999999995,Bandai Visual Company,Toho Company,Tomihiko Ohkubo,Katsuhiro Ōtomo,Takeshi Seyama,Mitsuo Iwata,Nozomu Sasaki,1,1,0,1,6,"Science Fiction,Animation",2,1,1,0
The Death and Life of Bobby Z,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1,1.8793363636363636,Eclectic pictures,Millennium Films,Efrain Lomeli,John Herzfeld,Alain Jakubowicz,Paul Walker,Laurence Fishburne,1,4,4,1,2,"Drama,Action,Thriller,Crime",1,3,4,1
Swimming Pool,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3,287.7092692307692,France 2 Cinéma,Canal Plus,Brice Blasquez,François Ozon,Monica Coleman,Charlotte Rampling,Ludivine Sagnier,3,3,0,3,3,"Thriller,Crime",3,3,1,0
Driving Miss Daisy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",6,1943.9106133333332,The Zanuck Company,Majestic Films International,J.L. Parker,Bruce Beresford,Mark Warner,Morgan Freeman,Jessica Tandy,6,6,0,6,6,"Comedy,Drama",6,0,4,0
Thank You for Smoking,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,381.4386,Fox Searchlight Pictures,Room 9 Entertainment,Howard R. Schuster,Jason Reitman,Dana E. Glauberman,Aaron Eckhart,Maria Bello,6,3,2,3,6,"Comedy,Drama",6,0,2,1
Hostel: Part II,"[{""id"": 27, ""name"": ""Horror""}]",3,349.21099019607846,Lions Gate Films,Next Entertainment,Daniel Frisch,Eli Roth,George Folsey Jr.,Lauren German,Bijou Phillips,6,3,0,3,6,Horror,6,0,1,0
An Education,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,347.9580266666667,BBC Films,,Barney Pilling,Lone Scherfig,Barney Pilling,Carey Mulligan,Olivia Williams,3,3,0,3,4,"Drama,Romance",6,6,1,0
Shopgirl,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,112.67615425625476,Epsilon Motion Pictures,Hyde Park Films,Tricia Wood,Anand Tucker,David Gamble,Steve Martin,Claire Danes,2,4,2,2,5,"Comedy,Drama,Romance",2,4,3,1
Narc,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",2,194.36533846153844,Paramount Pictures,Lions Gate Films,Michelle Grace,Joe Carnahan,John Gilroy,Jason Patric,Ray Liotta,3,3,1,2,3,"Action,Crime,Drama,Thriller",6,6,1,1
The Wave,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,253.33333333333331,Constantin Film Produktion,,Heiko Maile,Dennis Gansel,Ueli Christen,Jürgen Vogel,Frederick Lau,3,3,0,3,3,"Drama,Thriller",3,6,1,0
The Neon Demon,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",1,19.04462857142857,Bold Films,Amazon Studios,Steven Marshall,Nicolas Winding Refn,Matthew Newman,Elle Fanning,Karl Glusman,5,1,0,1,5,"Thriller,Horror",5,0,1,0
Harry Brown,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",2,141.50338356164383,HanWay Films,UK Film Council,Gavin Round,Daniel Barber,Joe Walker,Michael Caine,Emily Mortimer,2,3,0,2,5,"Thriller,Crime,Drama,Action",3,4,2,0
Juno,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6,3085.4877866666666,Fox Searchlight Pictures,Mandate Pictures,Michael Kreple,Jason Reitman,Dana E. Glauberman,Ellen Page,Michael Cera,6,6,3,6,6,"Comedy,Drama,Romance",6,2,1,1
Diamonds Are Forever,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",6,1611.3825972222223,United Artists,Eon Productions,Donfeld,Guy Hamilton,John W. Holmes,Sean Connery,Jill St. John,6,6,0,6,6,"Adventure,Action,Thriller",6,6,5,0
The Godfather,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",6,4084.4401833333336,Paramount Pictures,Alfran Productions,Carl Fortina,Francis Ford Coppola,Peter Zinner,Marlon Brando,Al Pacino,6,6,4,6,6,"Drama,Crime",6,0,2,4
(500) Days of Summer,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",4,809.6364533333333,Fox Searchlight Pictures,Watermark,Marcy Lavender,Marc Webb,Alan Edward Bell,Joseph Gordon-Levitt,Zooey Deschanel,4,4,1,4,4,"Comedy,Drama,Romance",6,0,3,0
The Piano,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6,1667.142857142857,New South Wales Film & Television Office,The Australian Film Commission,Alain Depardieu,Jane Campion,Veronika Jenet,Holly Hunter,Harvey Keitel,6,6,5,6,6,"Drama,Romance",6,0,1,1
Magic Mike,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",6,2388.8795857142854,Extension 765,Iron Horse Entertainment (II),Lee Morse,Steven Soderbergh,Steven Soderbergh,Channing Tatum,Matthew McConaughey,6,6,5,6,6,"Drama,Comedy",6,0,2,5
Live and Let Die,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",6,2311.111942857143,United Artists,Eon Productions,Julie Harris,Guy Hamilton,John Shirley,Roger Moore,Yaphet Kotto,6,6,0,6,6,"Adventure,Action,Thriller",6,6,3,0
"Good Night, and Good Luck.","[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",4,780.0,2929 Productions,Participant Productions,Todd Wagner,George Clooney,Stephen Mirrione,David Strathairn,Jeff Daniels,4,4,4,4,6,"Drama,History",4,0,1,1
Capote,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",4,701.2118571428571,Sony Pictures Classics,Cooper's Town Productions,Alanna Mills,Bennett Miller,Christopher Tellefsen,Philip Seymour Hoffman,Allie Mickelson,4,4,0,4,4,"Crime,Drama",5,0,1,0
Desperado,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",3,362.93492857142854,Columbia Pictures,Los Hooligans Productions,Charles Ewing Smith,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,Salma Hayek,5,4,3,3,5,"Thriller,Action,Crime",5,0,4,1
Logan's Run,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,277.77777777777777,Metro-Goldwyn-Mayer (MGM),,Jack M. Marino,Michael Anderson,Bob Wyman,Michael York,Richard Jordan,3,3,0,3,5,"Adventure,Action,Romance,Science Fiction",6,6,1,0
The Man with the Golden Gun,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",6,1393.8857142857144,United Artists,Eon Productions,Gordon Everett,Guy Hamilton,John Shirley,Roger Moore,Christopher Lee,6,6,0,6,6,"Adventure,Action,Thriller",6,6,3,0
Action Jackson,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",3,289.3853571428572,Silver Pictures,Lorimar Motion Pictures,Craig R. Baxley,Craig R. Baxley,Mark Helfrich,Carl Weathers,Craig T. Nelson,3,3,5,3,3,"Action,Adventure,Comedy,Crime,Drama",5,0,1,1
Devil's Due,"[{""id"": 27, ""name"": ""Horror""}]",4,520.4853571428571,Twentieth Century Fox Film Corporation,Davis Entertainment,Thomas Hebert,Tyler Gillett,Rod Dean,Allison Miller,Zach Gilford,4,4,0,4,4,Horror,6,3,1,0
Flirting with Disaster,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,210.0348285714286,Miramax Films,,Scott H. Ramsey,David O. Russell,Christopher Tellefsen,Ben Stiller,Patricia Arquette,5,4,2,2,4,"Comedy,Romance",6,6,6,1
House of 1000 Corpses,"[{""id"": 27, ""name"": ""Horror""}]",2,240.42207142857143,Universal Pictures,Spectacle Entertainment Group,Greg Sacks,Rob Zombie,Sean K. Lambert,Sid Haig,Bill Moseley,3,2,0,2,2,Horror,6,0,1,0
A Serious Man,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,449.0047714285715,Mike Zoss Productions,Studio Canal,Byron Wilson,Ethan Coen,Ethan Coen,Michael Stuhlbarg,Richard Kind,4,3,0,3,4,"Comedy,Drama",3,1,1,0
Beyond the Lights,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2,208.83895714285714,Relativity Media,Homegrown Pictures,Art Espinosa,Gina Prince-Bythewood,Terilyn A. Shropshire,Gugu Mbatha-Raw,Nate Parker,3,2,2,2,3,"Romance,Drama",4,0,1,1
The Last Temptation of Christ,"[{""id"": 18, ""name"": ""Drama""}]",2,119.62264285714286,Universal Pictures,Cineplex-Odeon Films,Nikos Kazantzakis,Martin Scorsese,Thelma Schoonmaker,Willem Dafoe,Harvey Keitel,6,2,5,2,4,Drama,6,1,1,1
Split Second,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 80, ""name"": ""Crime""}]",1,71.42857142857143,Entertainment,Muse Productions,Antoinette Gregory,Tony Maylam,Dan Rae,Rutger Hauer,Kim Cattrall,1,1,0,1,1,"Thriller,Action,Horror,Science Fiction,Crime",1,0,1,0
Veer-Zaara,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",3,419.7902857142857,Yash Raj Films,,Lata Mangeshkar,Yash Chopra,Ritesh Soni,Shah Rukh Khan,Preity Zinta,3,3,0,3,3,"Drama,Romance",3,6,2,0
Auto Focus,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",1,29.458085714285716,Sony Pictures Classics,Propaganda Films,Jeffrey Greeley,Paul Schrader,Kristina Boden,Greg Kinnear,Willem Dafoe,1,5,2,1,3,"Drama,Crime",5,3,2,1
We Need to Talk About Kevin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,86.2706,BBC Films,Oscilloscope Laboratories,Kimberly Asa,Lynne Ramsay,Joe Bini,John C. Reilly,Tilda Swinton,1,3,0,1,1,"Drama,Thriller",6,1,2,0
Losin' It,"[{""id"": 35, ""name"": ""Comedy""}]",1,17.802014285714286,Tijuana Productions,Tiberius Film Productions,Natalie Palmeri,Curtis Hanson,Richard Halsey,Tom Cruise,Jackie Earle Haley,4,6,0,1,3,Comedy,1,0,8,0
Hesher,"[{""id"": 18, ""name"": ""Drama""}]",1,5.470657142857143,DRO Entertainment,The Last Picture Company,Israel Wolfson,Spencer Susser,Spencer Susser,Joseph Gordon-Levitt,Natalie Portman,1,4,6,1,1,Drama,1,0,3,2
Freeheld,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",1,8.1905,Double Feature Films,Endgame Entertainment,Peter Sollett,Peter Sollett,Andrew Mondshein,Julianne Moore,Ellen Page,3,5,6,3,6,"Romance,Drama",3,6,3,1
The Extra Man,"[{""id"": 35, ""name"": ""Comedy""}]",1,6.472557142857142,Wild Bunch,Likely Story,Rebecca Rivo,Robert Pulcini,Robert Pulcini,Kevin Kline,Paul Dano,1,1,2,1,1,Comedy,6,4,1,0
Hard to Be a God,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,18.7239,Lenfilm Studio,Sever Studio,Viktor Lebedev,Aleksey German,Irina Gorokhovskaya,Leonid Yarmolnik,Yuriy Tsurilo,1,1,0,1,1,"Drama,Science Fiction",1,0,1,0
The Boondock Saints,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1,0.5078499999999999,Franchise Pictures,Brood Syndicate,Joyce Anne Gilstrap,Troy Duffy,Bill DeRonde,Willem Dafoe,Norman Reedus,2,2,0,1,1,"Action,Thriller,Crime",3,0,1,0
Stargate: The Ark of Truth,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,127.14285714285714,Metro-Goldwyn-Mayer (MGM),Kawoosh! Productions DTV I,Nicola Ryall,Robert C. Cooper,Stein Myhrstad,Ben Browder,Amanda Tapping,2,2,0,2,2,"Adventure,Science Fiction",6,0,1,0
Dazed and Confused,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2,115.84114492753623,Gramercy Pictures,Alphaville Productions,Mikael Sandgren,Richard Linklater,Sandra Adair,Jason London,Rory Cochrane,5,2,0,3,5,"Comedy,Drama",3,0,1,0
House at the End of the Street,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",4,641.8424782608696,A Bigger Boat,Relativity Media,Steve Lindsey,Mark Tonderai,Karen Porter,Jennifer Lawrence,Max Thieriot,4,5,1,4,4,"Horror,Thriller",4,4,3,0
Incendies,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 9648, ""name"": ""Mystery""}]",2,104.46820588235295,TS Productions,Micro scope,Karma Hijjawi,Denis Villeneuve,Monique Dartonne,Lubna Azabal,Mélissa Désormeaux-Poulin,3,2,0,2,2,"Drama,War,Mystery",2,0,1,0
Annabelle,"[{""id"": 27, ""name"": ""Horror""}]",6,3927.2894307692304,New Line Cinema,The Safran Company,Geraldine Needle,John R. Leonetti,Tom Elkins,Annabelle Wallis,Ward Horton,6,6,0,6,6,Horror,6,0,1,0
Boyz n the Hood,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",4,884.6779846153845,Columbia Pictures Corporation,,James Brown,John Singleton,Bruce Cannon,Laurence Fishburne,Cuba Gooding Jr.,4,4,3,4,4,"Crime,Drama",6,6,1,2
La Bamba,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",4,834.0833230769231,Columbia Pictures Corporation,New Visions Pictures,Misty Carey,Luis Valdez,Don Brochu,Lou Diamond Phillips,Danielle von Zerneck,4,4,0,4,4,"Drama,Music",6,0,1,0
Dressed to Kill,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",3,490.75384615384615,Filmways Pictures,Cinema 77 Films,Bob Grimaldi,Brian De Palma,Gerald B. Greenberg,Michael Caine,Angie Dickinson,4,3,0,3,6,"Horror,Mystery,Thriller",3,0,2,0
Go,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",3,437.7172615384615,Columbia Pictures,,Matt Freeman,Doug Liman,Stephen Mirrione,Sarah Polley,Katie Holmes,6,3,2,3,6,"Crime,Comedy,Thriller",5,6,1,1
Friends with Money,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,205.6682615384615,Sony Pictures,,Deb Talan,Nicole Holofcener,Richard Marks,Catherine Keener,Jason Isaacs,6,6,0,2,4,"Comedy,Drama,Romance",5,6,1,0
The Andromeda Strain,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,190.40866153846153,Universal Pictures,,Albert Whitlock,Robert Wise,Stuart Gilmore,Arthur Hill,David Wayne,6,2,0,2,3,"Science Fiction,Thriller",6,6,1,0
Shame,"[{""id"": 18, ""name"": ""Drama""}]",3,272.2103846153846,HanWay Films,UK Film Council,Nick London,Steve McQueen,Joe Walker,Michael Fassbender,Carey Mulligan,5,3,3,3,5,Drama,3,4,2,1
Layer Cake,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,182.31098461538463,Sony Pictures Classics,Marv Films,Diane Kelly,Matthew Vaughn,Jon Harris,Daniel Craig,Tom Hardy,3,4,5,2,4,"Drama,Thriller,Crime",5,0,3,2
The East,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,36.9463076923077,Scott Free Productions,,Scott D. Smith,Zal Batmanglij,Andrew Weisblum,Brit Marling,Alexander Skarsgård,1,1,2,1,6,"Drama,Thriller",3,6,1,1
The Messenger,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",1,23.404015384615384,Oscilloscope Laboratories,,Bryan Zuriff,Oren Moverman,Alex Hall,Ben Foster,Woody Harrelson,1,1,1,1,1,"Drama,History",1,6,1,2
The Terminator,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",5,1224.55,Orion Pictures,Pacific Western,Betsy Magruder,James Cameron,Mark Goldblatt,Arnold Schwarzenegger,Michael Biehn,5,6,0,5,5,"Action,Thriller,Science Fiction",6,0,8,0
"Good bye, Lenin!","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",6,1653.8516666666667,WDR,Arte,Lena Lazzarotto,Wolfgang Becker,Peter R. Adam,Daniel Brühl,Katrin Sass,6,6,0,6,6,"Comedy,Drama,Romance",6,6,1,0
The Return of the Living Dead,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}]",3,355.925,Hemdale Film Corporation,Fox Films Ltd.,Wendy Hogan,Dan O'Bannon,Robert Gordon,Clu Gulager,James Karen,3,3,0,3,5,"Comedy,Horror",3,0,1,0
Mallrats,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",1,35.376016666666665,Gramercy Pictures,Alphaville Films,Caldecot Chubb,Kevin Smith,Paul Dixon,Jason Lee,Jeremy London,6,4,0,1,1,"Romance,Comedy",3,0,2,0
Grease,"[{""id"": 10749, ""name"": ""Romance""}]",6,3030.2295,Paramount Pictures,Robert Stigwood Organization (RSO),Jim Jacobs,Randal Kleiser,John F. Burnett,John Travolta,Olivia Newton-John,6,6,0,6,6,Romance,6,0,6,0
Platoon,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",6,2308.8427500000003,Orion Pictures,Hemdale Film Corporation,Gordon J. Smith,Oliver Stone,Claire Simpson,Tom Berenger,Charlie Sheen,6,6,3,6,6,"Drama,War,Action",6,3,1,2
Butch Cassidy and the Sundance Kid,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}, {""id"": 80, ""name"": ""Crime""}]",6,1705.1481500000002,Twentieth Century Fox Film Corporation,Campanile Productions,William Edmondson,George Roy Hill,Richard C. Meyer,Paul Newman,Robert Redford,6,6,3,6,6,"History,Drama,Western,Crime",6,0,3,3
Mary Poppins,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",6,1704.54545,Walt Disney Productions,,Ollie Johnston,Robert Stevenson,Cotton Warburton,Julie Andrews,Dick Van Dyke,6,6,0,6,6,"Comedy,Family,Fantasy",6,6,1,0
West Side Story,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}]",4,727.6137,United Artists,Seven Arts,Robert E. Griffith,Jerome Robbins,Thomas Stanford,Natalie Wood,Richard Beymer,4,4,0,4,4,"Crime,Drama,Music",6,0,1,0
Caddyshack,"[{""id"": 35, ""name"": ""Comedy""}]",4,664.1057333333333,Orion Pictures,Warner Bros.,William C. Carruth,Harold Ramis,William C. Carruth,Chevy Chase,Rodney Dangerfield,4,4,0,4,4,Comedy,6,6,2,0
The Usual Suspects,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",3,389.0261333333333,Blue Parrot Productions,Bad Hat Harry Productions,Gloria Kaiser,Bryan Singer,John Ottman,Stephen Baldwin,Gabriel Byrne,3,3,2,3,3,"Drama,Crime,Thriller",3,0,1,1
A Nightmare on Elm Street 5: The Dream Child,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",3,277.1044875,New Line Cinema,,Brent A. Schoenfeld,Stephen Hopkins,Brent A. Schoenfeld,Robert Englund,Lisa Wilcox,3,5,0,3,3,"Horror,Thriller",6,6,3,0
National Lampoon’s Van Wilder,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",4,765.50966,Tapestry Films,Artisan Entertainment,Jonathon Komack Martin,Walt Becker,Dennis M. Hill,Ryan Reynolds,Tara Reid,4,6,0,4,4,"Comedy,Romance",4,6,3,0
The Wrestler,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",4,745.0665833333334,Saturn Films,Wild Bunch,Jim Buckman,Darren Aronofsky,Andrew Weisblum,Mickey Rourke,Marisa Tomei,6,4,1,4,6,"Drama,Romance",4,6,2,1
Escape from New York,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}]",4,837.4116666666667,AVCO Embassy Pictures,Goldcrest Films International,Cloudia Rebar,John Carpenter,Todd C. Ramsay,Kurt Russell,Lee Van Cleef,6,4,0,4,4,"Science Fiction,Action",6,4,5,0
Mr. Nice Guy,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",2,147.9499059247919,Golden Harvest Company,,Raymond Lam,Sammo Hung,Peter Cheung,Jackie Chan,Richard Norton,2,3,0,2,2,"Crime,Action,Comedy",2,6,2,0
A Mighty Wind,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",3,312.5041,Castle Rock Entertainment,,Donna E. Bloom,Christopher Guest,Robert Leighton,Bob Balaban,Christopher Guest,3,3,0,3,4,"Comedy,Music",4,6,1,0
