title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
The Legend of Tarzan,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,198.19058944444444,Village Roadshow Pictures,Dark Horse Entertainment,Mark S. Wright,David Yates,Mark Day,Alexander Skarsgård,Margot Robbie,4,2,0,2,4,"Action,Adventure",5,0,1,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",3,416.00386499999996,Walt Disney,Walden Media,Ian Blum,Andrew Adamson,Jim May,William Moseley,Anna Popplewell,3,3,0,4,3,"Adventure,Family,Fantasy",5,3,1,0
X-Men: Apocalypse,"[{""id"": 878, ""name"": ""Science Fiction""}]",3,305.58134101123596,Twentieth Century Fox Film Corporation,Donners' Company,Catherine Lavoie,Bryan Singer,John Ottman,James McAvoy,Michael Fassbender,3,3,3,3,3,Science Fiction,6,2,2,2
The Dark Knight,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",4,543.0045643243243,DC Comics,Legendary Pictures,Conor O'Sullivan,Christopher Nolan,Lee Smith,Christian Bale,Heath Ledger,4,4,5,4,4,"Drama,Action,Crime,Thriller",4,6,6,3
Up,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",3,420.0566182857143,Pixar Animation Studios,,Freesia Pearson,Pete Docter,Kevin Nolting,Ed Asner,Christopher Plummer,3,3,2,3,3,"Animation,Comedy,Family,Adventure",5,6,1,1
Iron Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",3,417.98158714285717,Marvel Studios,,Andy Hass,Jon Favreau,Dan Lebental,Robert Downey Jr.,Terrence Howard,4,4,3,3,4,"Action,Science Fiction,Adventure",4,6,4,1
Hugo,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",2,109.27656470588236,Paramount Pictures,Infinitum Nihil,Suzanne Stokes-Munton,Martin Scorsese,Thelma Schoonmaker,Ben Kingsley,Sacha Baron Cohen,6,3,6,2,4,"Adventure,Drama,Family",6,2,2,1
Wild Wild West,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",2,130.64981235294118,"Todman, Simon, LeMasters Productions",Warner Bros.,Alex Madison,Barry Sonnenfeld,Jim Miller,Will Smith,Kevin Kline,4,5,1,4,4,"Action,Adventure,Comedy,Science Fiction,Western",2,6,6,1
Suicide Squad,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,425.7142857142857,DC Comics,Dune Entertainment,Colin Akoon,David Ayer,John Gilroy,Will Smith,Margot Robbie,4,5,0,3,3,"Action,Adventure,Crime,Fantasy,Science Fiction",4,4,6,0
Evan Almighty,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1,98.85714285714286,Columbia Pictures,Universal Pictures,Alexander Fernandes,Tom Shadyac,Scott Hill,Steve Carell,Lauren Graham,4,5,0,1,4,"Fantasy,Comedy,Family",5,6,3,0
Edge of Tomorrow,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,208.16924494382022,Village Roadshow Pictures,Warner Bros.,Andrew Palmer,Doug Liman,James Herbert,Tom Cruise,Emily Blunt,6,6,3,2,4,"Action,Science Fiction",5,6,8,1
Waterworld,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2,150.98183999999998,Universal Pictures,Gordon Company,David Fulton,Kevin Reynolds,Peter Boyle,Kevin Costner,Chaim Girafi,4,6,0,2,4,"Adventure,Action",6,0,6,0
Inside Out,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",3,490.063528,Walt Disney Pictures,Pixar Animation Studios,Bert Berry,Pete Docter,Kevin Nolting,Amy Poehler,Phyllis Smith,3,3,0,3,3,"Drama,Comedy,Animation,Family",6,5,1,0
The Jungle Book,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",4,552.3146285714286,Walt Disney Pictures,Walt Disney Studios Motion Pictures,John Bartnicki,Jon Favreau,Mark Livolsi,Neel Sethi,Bill Murray,4,4,6,4,5,"Family,Adventure,Drama,Fantasy",6,3,1,3
Iron Man 2,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,311.96666550000003,Marvel Studios,,Travis Tohill,Jon Favreau,Dan Lebental,Robert Downey Jr.,Gwyneth Paltrow,4,4,5,3,4,"Adventure,Action,Science Fiction",4,6,4,2
Snow White and the Huntsman,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",2,233.29411764705884,Universal Pictures,Roth Films,Daniel Boccoli,Rupert Sanders,Neil Smith,Kristen Stewart,Charlize Theron,2,6,4,2,2,"Adventure,Fantasy,Drama",6,0,2,2
Dawn of the Planet of the Apes,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",3,418.0262152941176,Ingenious Media,Chernin Entertainment,Wendy Williams,Matt Reeves,Stan Salfas,Andy Serkis,Jason Clarke,4,3,3,3,3,"Science Fiction,Action,Drama,Thriller",5,0,1,1
